EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-04-25T12:32:09.667309,,2012,22066,running,cli,,,,,,,,ios44,,,"taking device lock",
stop,2023-04-25T12:32:09.667449,0.000140,2012,22066,running,cli,,,,,,,,ios44,,,"taking device lock",
start,2023-04-25T12:32:09.667850,,2012,22074,running,cli,,,,,,,,ios6,,,"sync-from",
start,2023-04-25T12:32:09.668210,,2012,22074,running,cli,,,,,,,,ios6,,,"taking device lock",
stop,2023-04-25T12:32:09.668368,0.000158,2012,22074,running,cli,,,,,,,,ios6,,,"taking device lock",
start,2023-04-25T12:32:09.669453,,2012,22006,running,cli,,,,,,,,ios12,,,"sync-from",
start,2023-04-25T12:32:09.669440,,2012,22010,running,cli,,,,,,,,ios2,,,"sync-from",
start,2023-04-25T12:32:09.670019,,2012,22006,running,cli,,,,,,,,ios12,,,"taking device lock",
start,2023-04-25T12:32:09.670052,,2012,22010,running,cli,,,,,,,,ios2,,,"taking device lock",
stop,2023-04-25T12:32:09.670185,0.000133,2012,22010,running,cli,,,,,,,,ios2,,,"taking device lock",
start,2023-04-25T12:32:09.670555,,2012,22065,running,cli,,,,,,,,ios43,,,"sync-from",
stop,2023-04-25T12:32:09.670825,0.000806,2012,22006,running,cli,,,,,,,,ios12,,,"taking device lock",
start,2023-04-25T12:32:09.671213,,2012,22065,running,cli,,,,,,,,ios43,,,"taking device lock",
start,2023-04-25T12:32:09.671337,,2012,22047,running,cli,,,,,,,,ios65,,,"sync-from",
stop,2023-04-25T12:32:09.671453,0.000240,2012,22065,running,cli,,,,,,,,ios43,,,"taking device lock",
start,2023-04-25T12:32:09.672356,,2012,22047,running,cli,,,,,,,,ios65,,,"taking device lock",
stop,2023-04-25T12:32:09.672489,0.000133,2012,22047,running,cli,,,,,,,,ios65,,,"taking device lock",
start,2023-04-25T12:32:09.673681,,2012,22005,running,cli,,,,,,,,ios1,connect,,"connect",
start,2023-04-25T12:32:09.673828,,2012,22015,running,cli,,,,,,,,ios66,connect,,"connect",
info,2023-04-25T12:32:09.674044,,2012,22015,running,cli,,,,,,,,ios66,connect,,"send NED connect",
info,2023-04-25T12:32:09.674064,,2012,22005,running,cli,,,,,,,,ios1,connect,,"send NED connect",
start,2023-04-25T12:32:09.674773,,2012,22013,running,cli,,,,,,,,ios7,,,"sync-from",
start,2023-04-25T12:32:09.675048,,2012,22020,running,cli,,,,,,,,ios75,connect,,"connect",
start,2023-04-25T12:32:09.675145,,2012,22013,running,cli,,,,,,,,ios7,,,"taking device lock",
start,2023-04-25T12:32:09.675258,,2012,22039,running,cli,,,,,,,,ios51,,,"sync-from",
stop,2023-04-25T12:32:09.675385,0.000240,2012,22013,running,cli,,,,,,,,ios7,,,"taking device lock",
info,2023-04-25T12:32:09.675462,,2012,22020,running,cli,,,,,,,,ios75,connect,,"send NED connect",
start,2023-04-25T12:32:09.675513,,2012,22073,running,cli,,,,,,,,ios15,,,"sync-from",
start,2023-04-25T12:32:09.676024,,2012,22039,running,cli,,,,,,,,ios51,,,"taking device lock",
start,2023-04-25T12:32:09.676045,,2012,22073,running,cli,,,,,,,,ios15,,,"taking device lock",
stop,2023-04-25T12:32:09.676196,0.000151,2012,22073,running,cli,,,,,,,,ios15,,,"taking device lock",
stop,2023-04-25T12:32:09.676573,0.000549,2012,22039,running,cli,,,,,,,,ios51,,,"taking device lock",
start,2023-04-25T12:32:09.677845,,2012,22041,running,cli,,,,,,,,ios60,,,"sync-from",
start,2023-04-25T12:32:09.678177,,2012,22018,running,cli,,,,,,,,ios71,connect,,"connect",
start,2023-04-25T12:32:09.678453,,2012,22041,running,cli,,,,,,,,ios60,,,"taking device lock",
info,2023-04-25T12:32:09.678520,,2012,22018,running,cli,,,,,,,,ios71,connect,,"send NED connect",
stop,2023-04-25T12:32:09.678664,0.000211,2012,22041,running,cli,,,,,,,,ios60,,,"taking device lock",
start,2023-04-25T12:32:09.678694,,2012,22011,running,cli,,,,,,,,ios64,,,"sync-from",
start,2023-04-25T12:32:09.679256,,2012,22011,running,cli,,,,,,,,ios64,,,"taking device lock",
stop,2023-04-25T12:32:09.679502,0.000246,2012,22011,running,cli,,,,,,,,ios64,,,"taking device lock",
start,2023-04-25T12:32:09.680750,,2012,22051,running,cli,,,,,,,,ios70,connect,,"connect",
info,2023-04-25T12:32:09.681038,,2012,22051,running,cli,,,,,,,,ios70,connect,,"send NED connect",
start,2023-04-25T12:32:09.681283,,2012,22016,running,cli,,,,,,,,ios68,connect,,"connect",
start,2023-04-25T12:32:09.681538,,2012,22003,running,cli,,,,,,,,ios40,,,"sync-from",
info,2023-04-25T12:32:09.681740,,2012,22016,running,cli,,,,,,,,ios68,connect,,"send NED connect",
start,2023-04-25T12:32:09.682007,,2012,22044,running,cli,,,,,,,,ios10,connect,,"connect",
start,2023-04-25T12:32:09.682067,,2012,22003,running,cli,,,,,,,,ios40,,,"taking device lock",
info,2023-04-25T12:32:09.682216,,2012,22044,running,cli,,,,,,,,ios10,connect,,"send NED connect",
stop,2023-04-25T12:32:09.682239,0.000172,2012,22003,running,cli,,,,,,,,ios40,,,"taking device lock",
start,2023-04-25T12:32:09.682559,,2012,22009,running,cli,,,,,,,,ios19,connect,,"connect",
info,2023-04-25T12:32:09.682748,,2012,22009,running,cli,,,,,,,,ios19,connect,,"send NED connect",
start,2023-04-25T12:32:09.682914,,2012,22061,running,cli,,,,,,,,ios30,connect,,"connect",
start,2023-04-25T12:32:09.683102,,2012,22033,running,cli,,,,,,,,ios48,connect,,"connect",
info,2023-04-25T12:32:09.683143,,2012,22061,running,cli,,,,,,,,ios30,connect,,"send NED connect",
start,2023-04-25T12:32:09.683309,,2012,22037,running,cli,,,,,,,,ios56,connect,,"connect",
info,2023-04-25T12:32:09.683370,,2012,22033,running,cli,,,,,,,,ios48,connect,,"send NED connect",
info,2023-04-25T12:32:09.683555,,2012,22037,running,cli,,,,,,,,ios56,connect,,"send NED connect",
start,2023-04-25T12:32:09.684046,,2012,22004,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-04-25T12:32:09.684305,,2012,22019,running,cli,,,,,,,,ios78,,,"sync-from",
start,2023-04-25T12:32:09.684700,,2012,22004,running,cli,,,,,,,,ios0,,,"taking device lock",
start,2023-04-25T12:32:09.684865,,2012,22019,running,cli,,,,,,,,ios78,,,"taking device lock",
stop,2023-04-25T12:32:09.684896,0.000196,2012,22004,running,cli,,,,,,,,ios0,,,"taking device lock",
start,2023-04-25T12:32:09.685359,,2012,22028,running,cli,,,,,,,,ios36,connect,,"connect",
stop,2023-04-25T12:32:09.685415,0.000550,2012,22019,running,cli,,,,,,,,ios78,,,"taking device lock",
start,2023-04-25T12:32:09.685492,,2012,22021,running,cli,,,,,,,,ios26,connect,,"connect",
info,2023-04-25T12:32:09.685698,,2012,22028,running,cli,,,,,,,,ios36,connect,,"send NED connect",
info,2023-04-25T12:32:09.685698,,2012,22021,running,cli,,,,,,,,ios26,connect,,"send NED connect",
start,2023-04-25T12:32:09.685854,,2012,22014,running,cli,,,,,,,,ios67,,,"sync-from",
start,2023-04-25T12:32:09.686075,,2012,22050,running,cli,,,,,,,,ios18,,,"sync-from",
start,2023-04-25T12:32:09.683103,,2012,22043,running,cli,,,,,,,,ios62,connect,,"connect",
info,2023-04-25T12:32:09.686633,,2012,22043,running,cli,,,,,,,,ios62,connect,,"send NED connect",
start,2023-04-25T12:32:09.686645,,2012,22014,running,cli,,,,,,,,ios67,,,"taking device lock",
stop,2023-04-25T12:32:09.686832,0.000187,2012,22014,running,cli,,,,,,,,ios67,,,"taking device lock",
start,2023-04-25T12:32:09.687190,,2012,22050,running,cli,,,,,,,,ios18,,,"taking device lock",
stop,2023-04-25T12:32:09.687348,0.000158,2012,22050,running,cli,,,,,,,,ios18,,,"taking device lock",
start,2023-04-25T12:32:09.687985,,2012,22046,running,cli,,,,,,,,ios16,connect,,"connect",
info,2023-04-25T12:32:09.688264,,2012,22046,running,cli,,,,,,,,ios16,connect,,"send NED connect",
start,2023-04-25T12:32:09.688383,,2012,22071,running,cli,,,,,,,,ios52,,,"sync-from",
start,2023-04-25T12:32:09.688850,,2012,22071,running,cli,,,,,,,,ios52,,,"taking device lock",
