EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
info,2023-04-24T17:59:00.818828,,257,9866,running,cli,,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2023-04-24T17:59:00.821413,0.006848,257,9866,running,cli,,,prepare,,,,,,,,"prepare",
start,2023-04-24T17:59:00.821496,,257,9866,running,cli,,,commit,,,,,,,,"commit",
info,2023-04-24T17:59:00.821603,,257,9866,running,cli,,cdb,commit,,,,,,,,"commit",
start,2023-04-24T17:59:00.821832,,257,9866,running,cli,,cdb,,,,,,,,,"switch to new running",
stop,2023-04-24T17:59:00.832372,0.010540,257,9866,running,cli,,cdb,,,,,,,,,"switch to new running",
info,2023-04-24T17:59:00.832504,,257,9866,running,cli,,cdb,,,,,,,,,"delivering commit subscription notifications at prio 1",
info,2023-04-24T17:59:00.835692,,257,9866,running,cli,,cdb,,,,,,,,,"all commit subscription notifications acknowledged",
info,2023-04-24T17:59:00.835864,,257,9866,running,cli,,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2023-04-24T17:59:00.848325,,257,9866,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2023-04-24T17:59:00.848391,0.026895,257,9866,running,cli,,,commit,,,,,,,,"commit",
stop,2023-04-24T17:59:00.848457,0.063351,257,9866,running,cli,,,,,,,,,,,"applying transaction",
info,2023-04-24T17:59:00.852692,,257,9866,running,cli,,,,,,,,ios84,,,"releasing device lock",
stop,2023-04-24T17:59:00.853122,91.196801,257,9866,running,cli,,,,,,,,ios84,,,"sync-from",
start,2023-04-24T17:59:00.853940,,257,9873,running,cli,,,,,,,,,,,"applying transaction",
start,2023-04-24T17:59:00.854032,,257,9873,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T17:59:00.854173,,257,9873,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-04-24T17:59:00.854256,0.000083,257,9873,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-04-24T17:59:00.854320,,257,9873,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-04-24T17:59:00.855018,0.000698,257,9873,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-04-24T17:59:00.855804,,257,9873,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-04-24T17:59:00.864951,0.009147,257,9873,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-04-24T17:59:00.865069,,257,9873,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-04-24T17:59:00.871624,0.006555,257,9873,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-04-24T17:59:00.871718,,257,9873,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-04-24T17:59:00.874132,0.002414,257,9873,running,cli,,,,,,,,,,,"mark inactive",
start,2023-04-24T17:59:00.874285,,257,9873,running,cli,,,,,,,,,,,"pre validate",
stop,2023-04-24T17:59:00.875747,0.001462,257,9873,running,cli,,,,,,,,,,,"pre validate",
start,2023-04-24T17:59:00.875824,,257,9873,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2023-04-24T17:59:00.876750,0.000926,257,9873,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2023-04-24T17:59:00.876800,,257,9873,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2023-04-24T17:59:00.877212,0.000412,257,9873,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2023-04-24T17:59:00.877265,,257,9873,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T17:59:00.877347,0.000082,257,9873,running,cli,,,,,,,,,,,"check configuration policies",
stop,2023-04-24T17:59:00.877415,0.023383,257,9873,running,cli,,,validate,,,,,,,,"validate",
start,2023-04-24T17:59:00.877450,,257,9873,running,cli,,,write-start,,,,,,,,"write-start",
info,2023-04-24T17:59:00.877499,,257,9873,running,cli,,cdb,write-start,,,,,,,,"write-start",
info,2023-04-24T17:59:00.877687,,257,9873,running,cli,,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2023-04-24T17:59:00.878050,,257,9873,running,cli,,cdb,,,,,,,,,"match subscribers",
stop,2023-04-24T17:59:00.878161,0.000111,257,9873,running,cli,,cdb,,,,,,,,,"match subscribers",
start,2023-04-24T17:59:00.878230,,257,9873,running,cli,,cdb,,,,,,,,,"create pre commit running",
stop,2023-04-24T17:59:00.879241,0.001011,257,9873,running,cli,,cdb,,,,,,,,,"create pre commit running",
start,2023-04-24T17:59:00.879300,,257,9873,running,cli,,cdb,,,,,,,,,"write changeset",
stop,2023-04-24T17:59:00.880656,0.001356,257,9873,running,cli,,cdb,,,,,,,,,"write changeset",
start,2023-04-24T17:59:00.880787,,257,9873,running,cli,,,,,,,,,,,"check data kickers",
