EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-05-02T19:40:27.920985,,40,41317,running,cli,,,,,,,,ios67,,,"sync-from",
start,2023-05-02T19:40:27.921069,,40,41290,running,cli,,,,,,,,ios0,,,"sync-from",
start,2023-05-02T19:40:27.921182,,40,41292,running,cli,,,,,,,,ios10,,,"sync-from",
start,2023-05-02T19:40:27.921269,,40,41296,running,cli,,,,,,,,ios13,,,"sync-from",
start,2023-05-02T19:40:27.921360,,40,41294,running,cli,,,,,,,,ios11,,,"sync-from",
start,2023-05-02T19:40:27.921426,,40,41307,running,cli,,,,,,,,ios63,,,"sync-from",
start,2023-05-02T19:40:27.921587,,40,41319,running,cli,,,,,,,,ios30,,,"sync-from",
start,2023-05-02T19:40:27.921644,,40,41353,running,cli,,,,,,,,ios76,,,"sync-from",
start,2023-05-02T19:40:27.921718,,40,41327,running,cli,,,,,,,,ios15,,,"sync-from",
start,2023-05-02T19:40:27.921810,,40,41321,running,cli,,,,,,,,ios32,,,"sync-from",
start,2023-05-02T19:40:27.921854,,40,41350,running,cli,,,,,,,,ios58,,,"sync-from",
start,2023-05-02T19:40:27.921944,,40,41325,running,cli,,,,,,,,ios72,,,"sync-from",
start,2023-05-02T19:40:27.922045,,40,41338,running,cli,,,,,,,,ios20,,,"sync-from",
start,2023-05-02T19:40:27.922109,,40,41317,running,cli,,,,,,,,ios67,,,"taking device lock",
stop,2023-05-02T19:40:27.922238,0.000129,40,41317,running,cli,,,,,,,,ios67,,,"taking device lock",
start,2023-05-02T19:40:27.922253,,40,41333,running,cli,,,,,,,,ios19,,,"sync-from",
start,2023-05-02T19:40:27.922582,,40,41290,running,cli,,,,,,,,ios0,,,"taking device lock",
stop,2023-05-02T19:40:27.922679,0.000097,40,41290,running,cli,,,,,,,,ios0,,,"taking device lock",
