EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2023-05-03T22:08:07.221180,,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"populating cdb",
stop,2023-05-03T22:08:07.490045,0.268865,41,46643,running,cli,,,,,,,,ios0,show,cisco-ios-cli-6.92,"populating cdb",
stop,2023-05-03T22:08:07.492137,0.718862,41,46643,running,cli,,,,,,,,ios0,show,,"show",
start,2023-05-03T22:08:07.493760,,41,46643,running,cli,,,,,,,,,,,"applying transaction",
start,2023-05-03T22:08:07.493926,,41,46643,running,cli,,,validate,,,,,,,,"validate",
start,2023-05-03T22:08:07.494030,,41,46643,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2023-05-03T22:08:07.494140,0.000110,41,46643,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2023-05-03T22:08:07.494212,,41,46643,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2023-05-03T22:08:07.494596,0.000384,41,46643,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2023-05-03T22:08:07.495662,,41,46643,running,cli,,,,,,,,,,,"creating rollback file",
stop,2023-05-03T22:08:07.497997,0.002335,41,46643,running,cli,,,,,,,,,,,"creating rollback file",
start,2023-05-03T22:08:07.498076,,41,46643,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2023-05-03T22:08:07.500766,0.002690,41,46643,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2023-05-03T22:08:07.500810,,41,46643,running,cli,,,,,,,,,,,"mark inactive",
stop,2023-05-03T22:08:07.501291,0.000481,41,46643,running,cli,,,,,,,,,,,"mark inactive",
start,2023-05-03T22:08:07.501407,,41,46643,running,cli,,,,,,,,,,,"pre validate",
