EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,TRACE ID,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2024-02-03T12:36:56.707014,,41,50,running,cli,,,,,,,,,,,"applying transaction",
start,2024-02-03T12:36:56.707163,,41,50,running,cli,,,validate,,,,,,,,"validate",
start,2024-02-03T12:36:56.707245,,41,50,running,cli,,,,,,,,,,,"grabbing transaction lock",
stop,2024-02-03T12:36:56.707343,0.000098,41,50,running,cli,,,,,,,,,,,"grabbing transaction lock",
start,2024-02-03T12:36:56.707426,,41,50,running,cli,,,,,,,,,,,"check and resolve conflicts",
stop,2024-02-03T12:36:56.707483,0.000057,41,50,running,cli,,,,,,,,,,,"check and resolve conflicts",
start,2024-02-03T12:36:56.708292,,41,50,running,cli,,,,,,,,,,,"creating rollback file",
stop,2024-02-03T12:36:56.710944,0.002652,41,50,running,cli,,,,,,,,,,,"creating rollback file",
start,2024-02-03T12:36:56.711100,,41,50,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
stop,2024-02-03T12:36:56.711455,0.000355,41,50,running,cli,,,,,,,,,,,"run transforms and transaction hooks",
start,2024-02-03T12:36:56.711509,,41,50,running,cli,,,,,,,,,,,"mark inactive",
stop,2024-02-03T12:36:56.711777,0.000268,41,50,running,cli,,,,,,,,,,,"mark inactive",
start,2024-02-03T12:36:56.711926,,41,50,running,cli,,,,,,,,,,,"pre validate",
stop,2024-02-03T12:36:56.712085,0.000159,41,50,running,cli,,,,,,,,,,,"pre validate",
start,2024-02-03T12:36:56.712141,,41,50,running,cli,,,,,,,,,,,"run validation over the changeset",
stop,2024-02-03T12:36:56.712372,0.000231,41,50,running,cli,,,,,,,,,,,"run validation over the changeset",
start,2024-02-03T12:36:56.712420,,41,50,running,cli,,,,,,,,,,,"run dependency-triggered validation",
stop,2024-02-03T12:36:56.712839,0.000419,41,50,running,cli,,,,,,,,,,,"run dependency-triggered validation",
start,2024-02-03T12:36:56.712883,,41,50,running,cli,,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:36:56.712958,0.000075,41,50,running,cli,,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:36:56.713038,0.005875,41,50,running,cli,,,validate,,,,,,,,"validate",
start,2024-02-03T12:36:56.713071,,41,50,running,cli,,,write-start,,,,,,,,"write-start",
info,2024-02-03T12:36:56.713117,,41,50,running,cli,,cdb,write-start,,,,,,,,"write-start",
info,2024-02-03T12:36:56.713304,,41,50,running,cli,,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2024-02-03T12:36:56.713723,,41,50,running,cli,,cdb,,,,,,,,,"match subscribers",
stop,2024-02-03T12:36:56.713813,0.000090,41,50,running,cli,,cdb,,,,,,,,,"match subscribers",
start,2024-02-03T12:36:56.713887,,41,50,running,cli,,cdb,,,,,,,,,"create pre commit running",
stop,2024-02-03T12:36:56.714062,0.000175,41,50,running,cli,,cdb,,,,,,,,,"create pre commit running",
start,2024-02-03T12:36:56.714113,,41,50,running,cli,,cdb,,,,,,,,,"write changeset",
stop,2024-02-03T12:36:56.714285,0.000172,41,50,running,cli,,cdb,,,,,,,,,"write changeset",
start,2024-02-03T12:36:56.714410,,41,50,running,cli,,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:36:56.714497,0.000087,41,50,running,cli,,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:36:56.714769,0.001698,41,50,running,cli,,,write-start,,,,,,,,"write-start",
start,2024-02-03T12:36:56.714819,,41,50,running,cli,,,prepare,,,,,,,,"prepare",
info,2024-02-03T12:36:56.714853,,41,50,running,cli,,cdb,prepare,,,,,,,,"prepare",
info,2024-02-03T12:36:56.715288,,41,50,running,cli,,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2024-02-03T12:36:56.716981,0.002162,41,50,running,cli,,,prepare,,,,,,,,"prepare",
start,2024-02-03T12:36:56.717024,,41,50,running,cli,,,commit,,,,,,,,"commit",
info,2024-02-03T12:36:56.717068,,41,50,running,cli,,cdb,commit,,,,,,,,"commit",
start,2024-02-03T12:36:56.717196,,41,50,running,cli,,cdb,,,,,,,,,"switch to new running",
stop,2024-02-03T12:36:56.717637,0.000441,41,50,running,cli,,cdb,,,,,,,,,"switch to new running",
info,2024-02-03T12:36:56.717982,,41,50,running,cli,,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2024-02-03T12:36:56.719184,,41,50,running,cli,,,,,,,,,,,"releasing transaction lock",
stop,2024-02-03T12:36:56.719252,0.002228,41,50,running,cli,,,commit,,,,,,,,"commit",
stop,2024-02-03T12:36:56.719323,0.012309,41,50,running,cli,,,,,,,,,,,"applying transaction",
