EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
start,2024-02-03T12:42:04.400059,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,1da97d4cab3ba60a,,42,43,running,system,,"applying transaction",,,,,
start,2024-02-03T12:42:04.400143,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,b6fcaaa936840ff7,1da97d4cab3ba60a,42,43,running,system,,"waiting to apply",,,,,
stop,2024-02-03T12:42:04.400215,0.000072,228f1996-9dc6-4ce0-8ebe-4f3abe763875,b6fcaaa936840ff7,1da97d4cab3ba60a,42,43,running,system,,"waiting to apply",,,,,
start,2024-02-03T12:42:04.400277,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,971c82ce4b9a202c,1da97d4cab3ba60a,42,43,running,system,,"validate",,transaction_phase,"validate",,
start,2024-02-03T12:42:04.400384,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,7098881aee0856d3,971c82ce4b9a202c,42,43,running,system,,"creating rollback checkpoint",,,,,
stop,2024-02-03T12:42:04.400526,0.000142,228f1996-9dc6-4ce0-8ebe-4f3abe763875,7098881aee0856d3,971c82ce4b9a202c,42,43,running,system,,"creating rollback checkpoint",,,,,
start,2024-02-03T12:42:04.400681,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,0ba6c209a0a40fcd,971c82ce4b9a202c,42,43,running,system,,"creating rollback file",,,,,
stop,2024-02-03T12:42:04.403159,0.002478,228f1996-9dc6-4ce0-8ebe-4f3abe763875,0ba6c209a0a40fcd,971c82ce4b9a202c,42,43,running,system,,"creating rollback file",,,,,
start,2024-02-03T12:42:04.403650,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,544e3f013adb16e1,971c82ce4b9a202c,42,43,running,system,,"creating pre-transform checkpoint",,,,,
stop,2024-02-03T12:42:04.403803,0.000153,228f1996-9dc6-4ce0-8ebe-4f3abe763875,544e3f013adb16e1,971c82ce4b9a202c,42,43,running,system,,"creating pre-transform checkpoint",,,,,
start,2024-02-03T12:42:04.403927,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,8f99f60e2c61a664,971c82ce4b9a202c,42,43,running,system,,"creating transform checkpoint",,,,,
stop,2024-02-03T12:42:04.404035,0.000108,228f1996-9dc6-4ce0-8ebe-4f3abe763875,8f99f60e2c61a664,971c82ce4b9a202c,42,43,running,system,,"creating transform checkpoint",,,,,
start,2024-02-03T12:42:04.404133,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,e56a684b02a879e6,971c82ce4b9a202c,42,43,running,system,,"run transforms and transaction hooks",,,,,
stop,2024-02-03T12:42:04.404386,0.000253,228f1996-9dc6-4ce0-8ebe-4f3abe763875,e56a684b02a879e6,971c82ce4b9a202c,42,43,running,system,,"run transforms and transaction hooks",,,,,
start,2024-02-03T12:42:04.404474,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,c5f3e63980b62370,971c82ce4b9a202c,42,43,running,system,,"creating validation checkpoint",,,,,
stop,2024-02-03T12:42:04.404610,0.000136,228f1996-9dc6-4ce0-8ebe-4f3abe763875,c5f3e63980b62370,971c82ce4b9a202c,42,43,running,system,,"creating validation checkpoint",,,,,
start,2024-02-03T12:42:04.404719,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,9ed7ccaeb43cf72a,971c82ce4b9a202c,42,43,running,system,,"mark inactive",,,,,
stop,2024-02-03T12:42:04.405078,0.000359,228f1996-9dc6-4ce0-8ebe-4f3abe763875,9ed7ccaeb43cf72a,971c82ce4b9a202c,42,43,running,system,,"mark inactive",,,,,
start,2024-02-03T12:42:04.405263,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,733143a1a2f0896a,971c82ce4b9a202c,42,43,running,system,,"pre validate",,,,,
stop,2024-02-03T12:42:04.405454,0.000191,228f1996-9dc6-4ce0-8ebe-4f3abe763875,733143a1a2f0896a,971c82ce4b9a202c,42,43,running,system,,"pre validate",,,,,
start,2024-02-03T12:42:04.405526,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,ab7d5102306ed49d,971c82ce4b9a202c,42,43,running,system,,"run validation over the changeset",,,,,
stop,2024-02-03T12:42:04.405825,0.000299,228f1996-9dc6-4ce0-8ebe-4f3abe763875,ab7d5102306ed49d,971c82ce4b9a202c,42,43,running,system,,"run validation over the changeset",,,,,
start,2024-02-03T12:42:04.405943,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,4ee826bdd6909535,971c82ce4b9a202c,42,43,running,system,,"run dependency-triggered validation",,,,,
stop,2024-02-03T12:42:04.406380,0.000437,228f1996-9dc6-4ce0-8ebe-4f3abe763875,4ee826bdd6909535,971c82ce4b9a202c,42,43,running,system,,"run dependency-triggered validation",,,,,
start,2024-02-03T12:42:04.406521,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,641ec68d4dcd0dce,971c82ce4b9a202c,42,43,running,system,,"check configuration policies",,,,,
stop,2024-02-03T12:42:04.406681,0.000160,228f1996-9dc6-4ce0-8ebe-4f3abe763875,641ec68d4dcd0dce,971c82ce4b9a202c,42,43,running,system,,"check configuration policies",,,,,
start,2024-02-03T12:42:04.406769,,228f1996-9dc6-4ce0-8ebe-4f3abe763875,8a96d4084f5c1446,971c82ce4b9a202c,42,43,running,system,,"check for read-write conflicts",,,,,
