EVENT TYPE,TIMESTAMP,DURATION,TRACE ID,SPAN ID,PARENT SPAN ID,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,MESSAGE,ANNOTATION,ATTRIBUTE NAME,ATTRIBUTE VALUE,LINK TRACE ID,LINK SPAN ID
stop,2024-02-05T10:04:13.450128,0.000337,44e4cdb9-9eca-48f9-9708-f0847a8198b0,3e769874d31b0fe1,d157ba0061a74972,42,43,running,system,,"check for read-write conflicts",,,,,
stop,2024-02-05T10:04:13.450205,0.008543,44e4cdb9-9eca-48f9-9708-f0847a8198b0,8770222b20449918,6c84b0b565a3891c,42,43,running,system,,"validate",,transaction_phase,"validate",,
start,2024-02-05T10:04:13.450272,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,c8f8aa7b346011fa,6c84b0b565a3891c,42,43,running,system,,"write-start",,transaction_phase,"write-start",,
info,2024-02-05T10:04:13.450364,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,c8f8aa7b346011fa,,42,43,running,system,cdb,"write-start",,transaction_phase,"write-start",,
info,2024-02-05T10:04:13.450588,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,c8f8aa7b346011fa,,42,43,running,system,service-manager,"write-start",,transaction_phase,"write-start",,
start,2024-02-05T10:04:13.450836,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,09dade4476c9dea9,c8f8aa7b346011fa,42,43,running,system,cdb,"match subscribers",,,,,
stop,2024-02-05T10:04:13.450941,0.000105,44e4cdb9-9eca-48f9-9708-f0847a8198b0,09dade4476c9dea9,c8f8aa7b346011fa,42,43,running,system,cdb,"match subscribers",,,,,
start,2024-02-05T10:04:13.451056,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,7cda2a79a5734720,c8f8aa7b346011fa,42,43,running,system,cdb,"create pre commit running",,,,,
stop,2024-02-05T10:04:13.451248,0.000192,44e4cdb9-9eca-48f9-9708-f0847a8198b0,7cda2a79a5734720,c8f8aa7b346011fa,42,43,running,system,cdb,"create pre commit running",,,,,
start,2024-02-05T10:04:13.451374,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,50d9de2aece5bb0c,c8f8aa7b346011fa,42,43,running,system,cdb,"write changeset",,,,,
stop,2024-02-05T10:04:13.451660,0.000286,44e4cdb9-9eca-48f9-9708-f0847a8198b0,50d9de2aece5bb0c,c8f8aa7b346011fa,42,43,running,system,cdb,"write changeset",,,,,
start,2024-02-05T10:04:13.451784,,44e4cdb9-9eca-48f9-9708-f0847a8198b0,b25203ea79e875d3,c8f8aa7b346011fa,42,43,running,system,,"check data kickers",,,,,
stop,2024-02-05T10:04:13.451942,0.000158,44e4cdb9-9eca-48f9-9708-f0847a8198b0,b25203ea79e875d3,c8f8aa7b346011fa,42,43,running,system,,"check data kickers",,,,,
